epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3460,0.3208,89.5100,0.0000,0.0000,10.64
1,0.3225,0.2979,90.5600,0.6522,0.2145,9.07
2,0.2893,0.2726,91.9000,0.9959,0.2288,1286.37
3,0.2808,0.2711,91.9400,1.0000,0.2316,11.12
4,0.2796,0.2717,91.9500,0.9692,0.2402,10.60
5,0.2793,0.2710,91.9400,1.0000,0.2316,9.25
6,0.2789,0.2705,91.9600,0.9693,0.2412,8.71
7,0.2784,0.2698,91.9400,1.0000,0.2316,8.36
8,0.2774,0.2690,92.0000,0.9882,0.2402,8.25
9,0.2775,0.2698,91.9500,1.0000,0.2326,8.11
10,0.2773,0.2693,91.9500,0.9959,0.2336,8.42
11,0.2775,0.2693,91.9700,0.9731,0.2412,8.67
12,0.2768,0.2692,91.9800,0.9920,0.2374,8.80
13,0.2764,0.2690,91.9900,0.9593,0.2469,8.93
14,0.2761,0.2692,91.9600,1.0000,0.2336,9.11
15,0.2761,0.2692,91.9400,1.0000,0.2316,9.25
16,0.2760,0.2688,91.9700,0.9881,0.2374,9.38
17,0.2760,0.2692,91.9700,0.9767,0.2402,9.90
18,0.2761,0.2689,91.9800,0.9557,0.2469,9.50
19,0.2760,0.2689,91.9600,0.9658,0.2421,9.59
20,0.2736,0.2653,92.1100,1.0000,0.2479,9.56
21,0.2731,0.2654,92.1100,0.9710,0.2555,9.88
22,0.2728,0.2654,92.0900,0.9813,0.2507,9.76
23,0.2729,0.2654,92.1300,0.9712,0.2574,9.89
24,0.2727,0.2653,92.1300,0.9645,0.2593,9.81
25,0.2724,0.2652,92.1200,0.9780,0.2545,10.11
26,0.2724,0.2654,92.1200,0.9677,0.2574,9.95
27,0.2725,0.2653,92.1200,0.9851,0.2526,9.77
28,0.2724,0.2653,92.1000,0.9850,0.2507,10.06
29,0.2724,0.2654,92.1500,0.9783,0.2574,10.10
30,0.2722,0.2654,92.1200,0.9851,0.2526,9.89
